strategy,n,time
RecursiveFibonacci,0,1.7079873941838741e-06
RecursiveFibonacci,1,5.830079317092896e-07
RecursiveFibonacci,2,5.00003807246685e-07
RecursiveFibonacci,3,1.00000761449337e-06
RecursiveFibonacci,4,7.500057108700275e-07
RecursiveFibonacci,5,7.910130079835653e-07
RecursiveFibonacci,6,1.167005393654108e-06
RecursiveFibonacci,7,1.9170111045241356e-06
RecursiveFibonacci,8,2.375018084421754e-06
RecursiveFibonacci,9,3.708992153406143e-06
RecursiveFibonacci,10,5.874986527487636e-06
RecursiveFibonacci,11,9.29099041968584e-06
RecursiveFibonacci,12,1.5124998753890395e-05
RecursiveFibonacci,13,2.3917004000395536e-05
RecursiveFibonacci,14,3.774999640882015e-05
RecursiveFibonacci,15,6.158300675451756e-05
RecursiveFibonacci,16,0.0001059159985743463
RecursiveFibonacci,17,0.00016149997827596962
RecursiveFibonacci,18,0.00028608401771634817
RecursiveFibonacci,19,0.0004305420152377337
RecursiveFibonacci,20,0.0007268750050570816
RecursiveFibonacci,21,0.0011392499727662653
RecursiveFibonacci,22,0.0018385419971309602
RecursiveFibonacci,23,0.0030567499925382435
RecursiveFibonacci,24,0.0047883749939501286
RecursiveFibonacci,25,0.007515625009546056
RecursiveFibonacci,26,0.01208695801324211
RecursiveFibonacci,27,0.019411499990383163
RecursiveFibonacci,28,0.030992957996204495
RecursiveFibonacci,29,0.050484041013987735
RecursiveFibonacci,30,0.08135262501309626
RecursiveFibonacci,31,0.12849262499366887
RecursiveFibonacci,32,0.20944537498871796
RecursiveFibonacci,33,0.33477958300500177
RecursiveFibonacci,34,0.5428555000107735
RecursiveFibonacci,35,0.8782696659909561
RecursiveFibonacci,36,1.418084207980428
RecursiveFibonacci,37,2.304248333995929
RecursiveFibonacci,38,3.7194677500228863
RecursiveFibonacci,39,6.010526208992815
RecursiveFibonacci,40,9.757201083994005
RecursiveFibonacci,41,15.855502249993151
RecursiveFibonacci,42,25.819235999981174
RecursiveFibonacci,43,42.033216083975276
