strategy,n,time
DoublingFibonacci,0,3.916999958164524e-06
DoublingFibonacci,12000,7.983299974512192e-05
DoublingFibonacci,24000,0.00027924999994866084
DoublingFibonacci,36000,0.0003536660001373093
DoublingFibonacci,48000,0.0006426250001823064
DoublingFibonacci,60000,0.0007633750001332373
DoublingFibonacci,72000,0.0010703330003707379
DoublingFibonacci,84000,0.0014935829999558337
DoublingFibonacci,96000,0.002250209000067116
DoublingFibonacci,108000,0.001863999999841326
DoublingFibonacci,120000,0.0031862910000199918
DoublingFibonacci,132000,0.002730874999997468
DoublingFibonacci,144000,0.003281792000052519
DoublingFibonacci,156000,0.0038076249998084677
DoublingFibonacci,168000,0.004408000000239554
DoublingFibonacci,180000,0.005525791999843932
DoublingFibonacci,192000,0.005826749999869207
DoublingFibonacci,204000,0.0049949170002037135
DoublingFibonacci,216000,0.005482166000092548
DoublingFibonacci,228000,0.006335583000236511
DoublingFibonacci,240000,0.006720999999743071
DoublingFibonacci,252000,0.007426542000303016
DoublingFibonacci,264000,0.008057000000007974
DoublingFibonacci,276000,0.008966750000126922
DoublingFibonacci,288000,0.009822375000112515
DoublingFibonacci,300000,0.012395333999847935
DoublingFibonacci,312000,0.012400542000250425
DoublingFibonacci,324000,0.01228987500007861
DoublingFibonacci,336000,0.013739624999743683
DoublingFibonacci,348000,0.016393500000049244
DoublingFibonacci,360000,0.016295583000101033
DoublingFibonacci,372000,0.016751374999785185
DoublingFibonacci,384000,0.018041291999907116
DoublingFibonacci,396000,0.015876625000146305
DoublingFibonacci,408000,0.016004209000129777
DoublingFibonacci,420000,0.016308958000081475
DoublingFibonacci,432000,0.016674125000008644
DoublingFibonacci,444000,0.017620957999952225
DoublingFibonacci,456000,0.01912750000019514
DoublingFibonacci,468000,0.019513166999786336
DoublingFibonacci,480000,0.02052750000029846
DoublingFibonacci,492000,0.021867625000140833
DoublingFibonacci,504000,0.022363084000062372
DoublingFibonacci,516000,0.023190333000002283
DoublingFibonacci,528000,0.026036457999907725
DoublingFibonacci,540000,0.02766154099981577
DoublingFibonacci,552000,0.02801779199990051
DoublingFibonacci,564000,0.03130533399962587
DoublingFibonacci,576000,0.032079999999950815
DoublingFibonacci,588000,0.030855458000132785
DoublingFibonacci,600000,0.03546099999994112
DoublingFibonacci,612000,0.033249999999952706
DoublingFibonacci,624000,0.0371044579997033
DoublingFibonacci,636000,0.037775915999645804
DoublingFibonacci,648000,0.03795916700028101
DoublingFibonacci,660000,0.04013758300015979
DoublingFibonacci,672000,0.042290709000099014
DoublingFibonacci,684000,0.04463637500020923
DoublingFibonacci,696000,0.04589545800035921
DoublingFibonacci,708000,0.051738208000188024
DoublingFibonacci,720000,0.05003170800000589
DoublingFibonacci,732000,0.04950325000027078
